drinker,bar
"Kimberley Nelson","Lee's Tavern"
"Kimberley Nelson","The Wayland"
"Kimberly Carlson","Until Tomorrow"
"Kimberly Coffey","Clover Club"
"Kimberly Coffey",Donna
"Kimberly Coffey","Spring Lounge"
"Kimberly English","Clover Club"
"Kimberly Osborn","Blue Bar"
"Kimberly Osborn","Lee's Tavern"
"Kimberly Osborn","Old Town Bar"
"Kimberly Phelps","169 Bar"
"Kimberly Phelps","Dear Irving"
"King Bautista","Townhouse of New York"
"Kirby Bean","169 Bar"
"Kirby Bean","KGB Bar"
"Kirby Coffey","169 Bar"
"Kirby Coffey","Aldo Sohm Wine Bar"
"Kirby Price","Blue Bar"
"Kirby Price","Lee's Tavern"
"Kirk Golden","Clover Club"
"Kirk Waters","Pegu Club"
"Kirk Waters","Spring Lounge"
"Kitty Bean","Connolly's Bar"
"Kitty Hughes","Lee's Tavern"
"Kitty Hughes",Mona's
"Kitty Pugh","Townhouse of New York"
"Korey Mccullough","Aldo Sohm Wine Bar"
"Korey Mccullough",Barcade
"Korey Mccullough","Lee's Tavern"
"Korey Vargas","Clover Club"
"Korey Vargas","KGB Bar"
"Kornelia White","Clover Club"
"Kornelia White",Mayahuel
"Kory Barrett","Aldo Sohm Wine Bar"
"Kory Barrett","Raines Law Room"
"Kory Estes","Bar Sixtyfive"
"Kory Hendrix","Townhouse of New York"
"Kraig Guerra","Amor y Amargo"
"Kraig Guerra",LENA
"Kraig Guerra","Pouring Ribbons"
"Kraig Guerra","The Pony Bar"
"Kraig Rivers","Alewife Queens"
"Kraig Rivers",Rudy's
"Kris Ellwood","Bemelmans Bar"
"Kris Ellwood",Mona's
"Kris Perkins","Connolly's Bar"
"Kris Perkins",Killmeyer's
"Kris Perkins","Pegu Club"
"Kris Perkins","Raines Law Room"
"Kris Zamora","Lee's Tavern"
"Krista Ingram",Primo's
"Krista Ingram","The Long Island Bar"
"Kristi Kemp","Dead Rabbit"
"Kristi Kemp","The Central Bar"
"Kristi Kemp","The Ship"
"Kristie Ashley","Death & Company"
"Kristie Ashley","Grand Banks"
"Kristie Ashley","Phoenix Bar"
"Kristie Cummings","e's Bar"
"Kristie Cummings","the Campbell"
"Kristie Martin","Gallow Green"
"Kristie Martin",Mace
"Kristine Bowers","Alewife Queens"
"Kristine Bowers",Primo's
"Kristine Gardner","The 13th Step"
"Kristine Gardner","The NoMad Bar"
"Kristine Gardner","The Summit Bar"
"Kristine Hawkins","KGB Bar"
"Kristine Hawkins",Killmeyer's
"Kristine Hawkins","Lee's Tavern"
"Kristofer Mendoza",Mona's
"Kristofer Mendoza","Spring Lounge"
"Kristofer Mendoza","The Wayland"
"Kristofer Stein","Dear Irving"
"Kristofer Stein",Donna
"Kristofer Stein","KGB Bar"
"Kristopher Ibarra",Donna
"Kristopher Ibarra","Raines Law Room"
"Kristy Baird",Apotheke
"Kristy Baird",Mace
"Kristy Baird","Orange Street"
"Kristy Baird","Tonic Bar"
"Kristy Garza","Maison Premiere"
"Kristy Garza","Phoenix Bar"
"Kristy Morton","The Long Island Bar"
"Kristy Whitehead","Bemelmans Bar"
"Kristy Whitehead","Connolly's Bar"
"Kristy Whitehead","KGB Bar"
"Krystal Brooks","Bar Goto"
"Krystal Brooks","Little Branch"
"Krystal Brooks",Nitecap
"Krzysztof Byers","Alewife Queens"
"Krzysztof Byers","Rainbow Room"
"Krzysztof Byers","The Ginger Man"
"Krzysztof Miles","Copper & Oak"
"Krzysztof Miles","Tonic Bar"
"Kurtis Harding","Connolly's Bar"
"Kurtis Harding",Donna
"Kurtis Harding","Spring Lounge"
"Kyla Naylor","Connolly's Bar"
"Kyle Cantu","Aldo Sohm Wine Bar"
"Kyle Cantu","Connolly's Bar"
"Kyle Cantu","Spring Lounge"
"Kyle Salazar",7B
"Kyle Salazar",Barcade
"Kyle Salazar",Killmeyer's
"Kyle Salazar","Spring Lounge"
"Lacey Burton","Old Town Bar"
"Lacey Gilmour",Barcade
"Lacey Gilmour",Donna
"Lacey Vasquez","Copper & Oak"
"Lacey Vasquez","Employees Only"
"Lacey Vasquez",Julius'
"Lacey Vasquez","The Up & Up"
"Lacey-May Rivas",Attaboy
"Lacey-May Rivas",d.b.a.
"Lacey-May Rivas","McSorley's Old Ale House"
"Lacy Bauer",Subject
"Ladonna Flowers","Lee's Tavern"
"Lakeisha Mcmillan","Phoenix Bar"
"Lakeisha Mcmillan","Please Don't Tell"
"Lakeisha Sanchez","169 Bar"
"Lakeisha Sanchez","The Wayland"
"Lamar Cortez","Dead Rabbit"
"Lamar Cortez","Rainbow Room"
"Lamar Cortez",Rudy's
"Lamont Chaney",Mona's
"Lamont Stevens","Bemelmans Bar"
"Lamont Stevens","Dear Irving"
"Lana Novak","Bemelmans Bar"
"Lana Prince","Clover Club"
"Landon Gould",BlackTail
"Landon Hahn",Apotheke
"Landon Hahn",Boxer
"Landon Hahn","Orange Street"
"Lane Liu",Dante
"Lane Liu","Gallow Green"
"Lane Liu",Mace
"Lane Nash",PDT
"Lane Nash","The Wayland"
"Lane Robinson","Alewife Queens"
"Lane Robinson","Sugar East"
"Lane Robinson","The Ginger Man"
"Lanny Boyer",Apotheke
"Lanny Boyer",Mace
"Lanny Frederick",Mace
"Lanny Frederick","Rose Bar"
"Lanny Landry","Gallow Green"
"Lara Fletcher","Pouring Ribbons"
"Lara Goodman",Apotheke
"Lara Goodman",Nitecap
"Lara Goodman","Rose Bar"
"Larry Robbins","The Dead Rabbit"
"Larry Robbins","Until Tomorrow"
"Latasha Sampson","Bemelmans Bar"
"Latasha Sampson",Killmeyer's
"Latasha Sampson","Lee's Tavern"
"Latisha Howell",Mace
"Latisha Nixon","Ear Inn"
"Latonya Floyd",Killmeyer's
"Latonya Moore","Angel's Share"
"Latonya Moore","Bronx Alehouse"
"Latonya Moore","Ghost Donkey"
"Latoya Davila","Aldo Sohm Wine Bar"
"Latoya Davila","Old Town Bar"
"Latoya Welch",Donna
"Latoya Welch",Mona's
"Laura Villarreal","Copper & Oak"
"Laura Villarreal",Mace
"Laura Villarreal","Tonic Bar"
"Laurel Vang","169 Bar"
"Laurel Vang","Clover Club"
"Lauri Fitzpatrick","Ear Inn"
"Laurie Wilcox","Tonic Bar"
"Lavern Cordova","Aldo Sohm Wine Bar"
"Lavern Cordova","Bemelmans Bar"
"Lavern Cordova","Dear Irving"
"Laverne Brewer",Donna
"Laverne Brewer",Mayahuel
"Laverne Herrera","Phoenix Bar"
"Laverne Hopkins",Subject
"Lavonne Castillo","169 Bar"
"Lavonne Castillo",Mona's
"Lavonne Rivera",d.b.a.
"Lavonne Rivera",Primo's
"Lavonne Rivera","Rainbow Room"
"Lavonne Rivera","The Long Island Bar"
"Lavonne Rose","The Central Bar"
"Lavonne Rose","The Ship"
"Lavonne Snow","Aldo Sohm Wine Bar"
"Lavonne Snow","Blue Bar"
"Lavonne Snow",Donna
"Lavonne Snow",Killmeyer's
"Lawanda Farrell","Dear Irving"
"Lawanda Farrell","KGB Bar"
"Lawanda Farrell","The Wayland"
"Lawrence Petty",Bua
"Lawrence Petty","The Summit Bar"
"Lawson Mccormack","The Honeywell"
"Lazaro Benson",BlackTail
"Lazaro Benson","The Aviary NYC"
"Lazaro Benson",Torst
"Lazaro Chen","Bar Goto"
"Lazaro Chen",Subject
"Lea Dominguez","Bohemian Hall & Beer Garden"
"Lea Dominguez","The Dead Rabbit"
"Leah Reed","Blind Tiger Ale House"
"Leah Reed","Little Branch"
"Leah Reed","Slowly Shirley"
"Leah Villegas",Killmeyer's
"Leandro Contreras",7B
"Leandro Contreras","Bemelmans Bar"
"Leandro Contreras","Pegu Club"
"Leandro Lloyd","Rose Bar"
"Leandro Lloyd",Subject
"Leandro Skinner",Leyenda
"Leann Martin",Subject
"Leann Peck",Barcade
"Leann Peck","Connolly's Bar"
"Leann Peck","Lee's Tavern"
"Leann Peck","The Wayland"
"Leann Roman","Bemelmans Bar"
"Leann Roman",Donna
"Leann Saunders",Donna
"Leanna Hutchinson","Dear Irving"
"Leanna Hutchinson","Old Town Bar"
"Leanna Hutchinson","The Wayland"
"Leanna Hutchinson","Townhouse of New York"
"Lee Cuevas","The Long Island Bar"
"Lee Peck","Ghost Donkey"
"Lee Peck","Grand Banks"
"Lee Peck","King Cole Bar"
"Leif Haley","Ear Inn"
"Leif Haley","Until Tomorrow"
"Leif Haley","Zinc Bar"
"Leif Park","Clover Club"
"Leif Park","Connolly's Bar"
"Leif Park",Donna
"Leigh Cameron","Dutch Kills"
"Leigh Cameron","The Aviary NYC"
"Leigh Graves",d.b.a.
"Leigh Graves",Rudy's
"Leigh Graves","The Ginger Man"
"Leigh Stout","Bemelmans Bar"
"Leigh Stout","Blue Bar"
"Leigh Stout","Dear Irving"
"Leila Carpenter",Barcade
"Leila Carpenter",Mona's
"Leila Dickerson","Dear Irving"
"Leila Dickerson","Old Town Bar"
"Leila Dickerson","Pegu Club"
"Lela Rivera","Dear Irving"
"Leland Bray","The Dead Rabbit"
"Leland Bray","The Pool Lounge"
"Leland Bray","Zinc Bar"
"Leland Holloway",Mayahuel
"Leland Holloway","Raines Law Room"
"Leland Moody","169 Bar"
"Leland Moody","Connolly's Bar"
"Leland Moody","KGB Bar"
"Leland Moody","Pegu Club"
"Lemuel Evans","Bemelmans Bar"
"Lemuel Evans","Lee's Tavern"
"Lemuel Gibbs","Connolly's Bar"
"Lenard Logan","Ghost Donkey"
"Lenard Logan","Zinc Bar"
"Lennox Gross","Copper & Oak"
"Lennox Gross",Julius'
"Lennox Gross",Leyenda
"Lennox Gross",Nitecap
"Lenora Lowery","Pegu Club"
"Lenore Bryant",7B
"Lenore Bryant",Barcade
"Lenore Bryant","Connolly's Bar"
"Lenore Chan","Grand Banks"
"Lenore Hull",Dante
"Lenore Hull","The Honeywell"
"Lenore Pittman","Blue Bar"
"Lenore Pittman",PDT
"Lenore Pittman","Raines Law Room"
"Leo Johnston","169 Bar"
"Leola Thompson",Killmeyer's
"Leola Thompson","Lee's Tavern"
"Leola Thompson",Mona's
"Leola Thompson","The Wayland"
"Leon Griffith",Julius'
"Leon Griffith","The Counting Room"
"Leonard Adams","Copper & Oak"
"Leonard Adams","The Counting Room"
"Leonardo Branch","The Ship"
"Leonardo Palmer","Blue Bar"
"Leonardo Palmer","Connolly's Bar"
"Leonardo Palmer","Old Town Bar"
"Leonor Hendrix","Bemelmans Bar"
"Leonor Hendrix","KGB Bar"
"Leonor Hendrix","The Wayland"
"Leonor Valentine","169 Bar"
"Leonor Valentine","Blue Bar"
"Leonor Valentine","Dear Irving"
"Leroy Higgins","Broken Shaker"
"Leroy Higgins","Copper & Oak"
"Leroy Kaufman","Blue Bar"
"Leroy Morales",Killmeyer's
"Leroy Morales",Mayahuel
"Les Mcgee","Clover Club"
"Les Mcgee",Mona's
"Les Mcgee","Spring Lounge"
"Les Ponce","Employees Only"
"Les Ponce","The Counting Room"
"Lesa Massey","Blue Bar"
"Lesa Massey","Spring Lounge"
"Lesa Massey","Townhouse of New York"
"Lesa Vang",Killmeyer's
"Lesley Bass",7B
"Lesley Bass","Bemelmans Bar"
"Lesley Bass","Clover Club"
"Lesley Bass","The Wayland"
"Lesley Green","169 Bar"
"Lesley Green","Connolly's Bar"
"Lesley Green","Raines Law Room"
"Lesley Kline","169 Bar"
"Lesley Kline","Dear Irving"
"Lesley Kline","Raines Law Room"
"Lesley Mahoney","Rainbow Room"
"Lesley Mclellan","Clockwork Bar"
"Lesley Mclellan","Jimmy's corner"
"Lesley Mclellan","Sugar East"
"Lesley Mclellan","The Central Bar"
"Leslie Gonzales","Aldo Sohm Wine Bar"
"Leslie Gonzales",Barcade
"Leslie Gonzales","KGB Bar"
"Lessie Bishop","the Campbell"
"Lessie Bishop","Until Tomorrow"
"Lessie Owen","King Cole Bar"
"Lessie Owen","Pouring Ribbons"
"Lessie Owen","The Pool Lounge"
"Lester Munoz",7B
"Lester Munoz",Mayahuel
"Lester Reyes","Old Town Bar"
"Lester Tapia",BlackTail
"Lester Tapia","the Campbell"
"Lester Tapia","The Pony Bar"
"Lester Tapia","Zinc Bar"
"Lester Wallace",Barcade
"Lester Wallace","Dear Irving"
"Leta Rodriguez","ABC Beer Co."
"Leta Rodriguez","Maison Premiere"
"Leta Rodriguez","Please Don't Tell"
"Letha Chase","Blue Bar"
"Letha Chase",Donna
"Letha Chase",Mayahuel
"Letha Hanna","Alewife Queens"
"Letha Hanna","The Ginger Man"
"Letha Holder","Blue Bar"
"Letha Holder","Old Town Bar"
"Letha Holder",PDT
"Letha Leblanc","169 Bar"
"Letha Leblanc",Mona's
"Leticia Fleming","Aldo Sohm Wine Bar"
"Leticia Fleming","Bemelmans Bar"
"Leticia Fleming","Connolly's Bar"
"Leticia Fleming",Mona's
"Letitia Holden","KGB Bar"
"Letitia Holden",Mona's
"Levi Mason","Clover Club"
"Levi Mason","Spring Lounge"
"Lewis Davila","Bohemian Hall & Beer Garden"
"Lewis Davila","Dutch Kills"
"Lewis Davila","Pouring Ribbons"
"Lewis Mccarthy",Boxer
"Lewis Mccarthy",Leyenda
"Lewis Mccarthy","Slowly Shirley"
"Lidia Little","Bar Goto"
"Lidia Little","Little Branch"
"Lidia Little",Subject
"Lila Clark",Apotheke
"Lila Clark","Bar Nine"
"Lila Clark","Tonic Bar"
"Lila Farley","Amor y Amargo"
"Lila Farley","The Iron Horse Nyc"
"Lila Wise",BlackTail
"Lila Wise","Ghost Donkey"
"Lila Yates","Aldo Sohm Wine Bar"
"Lila Yates",PDT
"Lila Yates","Spring Lounge"
"Lilia Chavez","Clover Club"
"Lilia Chavez",PDT
"Lilia Chavez","Townhouse of New York"
"Lilia Hays",BlackTail
"Lilia Hays","Death & Company"
"Lilia Hays","The Dead Rabbit"
"Liliana Cannon",Mace
"Liliana Cannon","Orange Street"
"Liliana Cannon","Slowly Shirley"
"Liliana Clayton","169 Bar"
"Liliana Clayton","KGB Bar"
"Liliana Clayton",Mayahuel
"Liliana Clayton","Townhouse of New York"
"Liliana Silva",Attaboy
"Liliana Silva",Rudy's
"Liliana Silva","The Central Bar"
"Lilianna Peel","Spring Lounge"
"Lillia Bullock","Townhouse of New York"
"Lillian Crawford","Bar Goto"
"Lillian Crawford","Bar Nine"
"Lillian Crawford","Bar Sixtyfive"
"Lillian Dominguez","Blue Bar"
"Lillian Dominguez","Pegu Club"
"Lillian Dominguez","Townhouse of New York"
"Lillie Townsend","Clover Club"
"Lillie Townsend","Dear Irving"
"Lillie Townsend","KGB Bar"
"Lillie Townsend","Old Town Bar"
"Lillie Wilcox","Raines Law Room"
"Lilly Barr","Copper & Oak"
"Lilly Barr","Gallow Green"
"Lilly Barr","Keats Bar"
"Lilly Barr",Nitecap
"Lily Pham","Spring Lounge"
"Lily-Mai Daniels",7B
"Lily-Mai Daniels",Donna
"Lily-Mai Daniels","KGB Bar"
"Lily-Mai Daniels",Mona's
"Lina Andrews",Rudy's
"Lina Pratt","Dear Irving"
"Lina Pratt","Raines Law Room"
"Lina Proctor","Jimmy's corner"
"Lina Proctor","McSorley's Old Ale House"
"Lina Reed",Rudy's
"Lina Reed","The NoMad Bar"
"Lina Villanueva","169 Bar"
"Lina Villanueva","Clover Club"
"Lina Villanueva","Raines Law Room"
"Lincoln Benton","Blue Bar"
"Lincoln Benton",Mayahuel
"Lincoln Hatfield","The Wayland"
"Linda Chambers","Holiday Cocktail Lounge"
"Linda Chambers","McSorley's Old Ale House"
"Linda Chambers","The Ginger Man"
"Linda Chambers","The NoMad Bar"
"Linda Serrano",Mayahuel
"Linda Serrano","Townhouse of New York"
"Lindsay Dunn","Donovan's Pub"
"Lindsay Dunn","Sugar East"
"Lindsay Martin",Donna
"Lindsay Martin","Spring Lounge"
"Lindsay Martin","The Wayland"
"Lindsay Pacheco",Attaboy
"Lindsay Pacheco","The Central Bar"
"Lindsey King",PDT
"Lindsey Summers","169 Bar"
"Lindsey Summers","Old Town Bar"
"Lindsey Summers","Raines Law Room"
"Lindsey Wise","The Up & Up"
"Linwood Salas",Mayahuel
"Linwood Salas","Spring Lounge"
"Linwood Salas","Townhouse of New York"
"Linwood Summers","Broken Shaker"
"Linwood Summers","The Counting Room"
"Linwood Summers","Tonic Bar"
"Linwood Vang","Aldo Sohm Wine Bar"
"Linwood Vang","Lee's Tavern"
"Lionel Arellano",d.b.a.
"Lionel Arellano",Primo's
"Lionel Mclaughlin","e's Bar"
"Lionel Peterson",BlackTail
"Lionel Peterson","Grand Banks"
"Lionel Peterson","Until Tomorrow"
"Lisa Compton","The Dead Rabbit"
"Lisa Compton",Torst
"Lisa Huffman","Raines Law Room"
"Lisa Park","Lee's Tavern"
"Lisa Park","Old Town Bar"
"Lisa Park","Townhouse of New York"
"Liz Meadows","Bohemian Hall & Beer Garden"
"Liz Meadows","Ear Inn"
"Liz Meadows","Please Don't Tell"
"Liz Meadows","The Aviary NYC"
"Liz Peters","Pouring Ribbons"
"Liz Peters","The Aviary NYC"
"Liz Peters",Torst
"Liza Fischer","Dear Irving"
"Liza Fischer","Lee's Tavern"
"Liza Fischer",Mayahuel
"Liza Howard",7B
"Liza Howard","Connolly's Bar"
"Lizzie Friedman",Boxer
"Lizzie Friedman","Broken Shaker"
"Lizzie Friedman","The Counting Room"
"Lloyd Wolfe","Aldo Sohm Wine Bar"
"Logan Cain","169 Bar"
"Logan Cain",Donna
"Logan Cain",Mayahuel
"Logan Cain","Old Town Bar"
"Logan Easton",Mayahuel
"Logan Park","Gallow Green"
"Logan Park","Slowly Shirley"
"Lois Navarro",Killmeyer's
"Lois Walls","Employees Only"
"Lois Walls","Little Branch"
"Lois Woodard","Dead Rabbit"
"Lois Woodard","Jimmy's corner"
"Lois Woodard","McSorley's Old Ale House"
"Lola Odom","Holiday Cocktail Lounge"
"Lola Odom","Sugar East"
"Lola Odom","The 13th Step"
"Lola Odom","The Ship"
"Lola Tucker","Dear Irving"
"Lola Tucker","Raines Law Room"
"Lola Tucker","Townhouse of New York"
"Lolita Giles","ABC Beer Co."
"Lolita Harmon",Julius'
"Lolita Harmon",Subject
"Lon Barker","KGB Bar"
"Lon Obrien","Holiday Cocktail Lounge"
"Lon Obrien","Jimmy's corner"
"Lonnie Daniels","Bar Nine"
"Lonnie Daniels","Keats Bar"
"Lonnie Daniels","The Counting Room"
"Lonnie Mendoza",Barcade
"Lonnie Mendoza","KGB Bar"
"Lonnie Mendoza",Killmeyer's
"Lonnie Olson","Copper & Oak"
"Lonnie Olson","Tonic Bar"
"Lonny Robertson","Bar Sixtyfive"
"Lonny Robertson","Broken Shaker"
"Lonny Williamson",Mona's
"Lora Reeves","Clover Club"
"Lora Reeves","Connolly's Bar"
"Lora Reeves","Pegu Club"
"Lora Schaefer",Mace
"Lora Schaefer",Nitecap
"Lora Schaefer","The Honeywell"
"Lorena Berg","KGB Bar"
"Lorena Berg","Old Town Bar"
"Lorena Berg","Townhouse of New York"
"Lorena Crawford","169 Bar"
"Lorena Crawford","Pegu Club"
"Lorena Crawford","Raines Law Room"
"Lorena Mccoy","KGB Bar"
"Lorena Mccoy","Lee's Tavern"
"Lorene Buchanan",Barcade
"Lorene Terry","Dear Irving"
"Lorenzo Bender","Pouring Ribbons"
"Lorenzo Bender","Until Tomorrow"
"Lorenzo Mcknight","Dear Irving"
"Lorenzo Mcknight",Killmeyer's
"Lorenzo Riley","Pegu Club"
"Loretta Petersen","Bar Goto"
"Loretta Petersen",Julius'
"Loretta Pham","The Long Island Bar"
"Lorna Gibson",Boxer
"Lorna Goodman","Gallow Green"
"Lorna Smith","The NoMad Bar"
"Lorraine Alvarado","Spring Lounge"
"Lorraine Hartman","Clockwork Bar"
"Lorraine Hartman",Rudy's
"Lorraine Hartman","Sugar East"
"Lorraine Hartman","Ty Bar"
"Lorraine Salas",Killmeyer's
"Lorraine Salas","Raines Law Room"
"Lorrie Browning","The NoMad Bar"
"Lorrie Browning","The Summit Bar"
"Lorrie Browning","Ty Bar"
"Lorrie Foley",Torst
"Lorrie Giles","Raines Law Room"
"Lorrie Lamb","Employees Only"
"Lorrie Lamb","The Counting Room"
"Lorrie Lamb","The Honeywell"
"Lorrie Lamb","Tonic Bar"
"Lorrie Sanford","Little Branch"
"Lorrie Shannon","Old Town Bar"
"Lottie Moyer",Killmeyer's
"Lottie Moyer","Lee's Tavern"
"Lottie Moyer","Old Town Bar"
"Lou Flowers","Old Town Bar"
"Lou Kidd","Keats Bar"
"Lou Kidd","The Counting Room"
"Lou Malone","Copper & Oak"
"Louella Hansen","Grand Banks"
"Louella Hansen","Phoenix Bar"
"Louella Maddox","Clover Club"
"Louella Maddox","Connolly's Bar"
"Louella Rodgers",d.b.a.
"Louella Rodgers","Donovan's Pub"
"Louella Rodgers","The NoMad Bar"
"Louie Fuller",7B
"Louie Fuller","Old Town Bar"
"Louie Fuller","Spring Lounge"
"Louie Klein","Copper & Oak"
"Louie Klein","Keats Bar"
"Louis Bryan","Spring Lounge"
"Louis Parks","Spring Lounge"
"Louisa Bishop",Dante
"Louisa Braun","The Dead Rabbit"
"Louisa Braun","Until Tomorrow"
"Louisa Braun","Zinc Bar"
"Louise Schwartz","Amor y Amargo"
"Louise Schwartz","Lucy's a.k.a. Blanche's Tavern"
"Louise Schwartz","The Aviary NYC"
"Lourdes Nash","Lucy's a.k.a. Blanche's Tavern"
"Lourdes Vaughn","Aldo Sohm Wine Bar"
"Lourdes Vaughn","Raines Law Room"
"Lowell Mccarthy",d.b.a.
"Lowell Mccarthy","Sugar East"
"Lowell Myers","Clockwork Bar"
"Lowell Myers","Sugar East"
"Loyd Gonzalez","Aldo Sohm Wine Bar"
"Loyd Nicholson","Bar Nine"
"Loyd Nicholson","Blind Tiger Ale House"
"Loyd Nicholson","Copper & Oak"
"Loyd Shepard","Bronx Alehouse"
"Loyd Shepard","Grand Banks"
"Loyd Shepard","Maison Premiere"
"Luann Guerra","Dear Irving"
"Luann Guerra",Mayahuel
"Luann Watkins",Apotheke
"Luann Watkins",Dante
"Luann Yu","Phoenix Bar"
"Luann Yu","Pouring Ribbons"
"Lucas Boyle","Bar Nine"
"Lucas Boyle","Copper & Oak"
"Lucas Boyle","Orange Street"
"Lucas Kelley","The Pony Bar"
"Lucia Buckley","Please Don't Tell"
"Lucia Buckley","the Campbell"
"Lucia Buckley","The Pool Lounge"
"Lucia Chan","Dutch Kills"
"Lucia Chan","Maison Premiere"
"Lucia Chan","The Iron Horse Nyc"
"Lucia Daniel",Barcade
"Lucia Daniel",Donna
"Lucia Franklin",Killmeyer's
"Lucia Hodge","Bohemian Hall & Beer Garden"
"Luciano Huerta","Connolly's Bar"
"Lucien Collins","Grand Banks"
"Lucien Collins","King Cole Bar"
"Lucile Bell","Bronx Alehouse"
"Lucile Bell","Ghost Donkey"
"Lucile Bell","The Pool Lounge"
"Lucile Brandt","Beauty Bar"
"Lucile Brandt","The 13th Step"
"Lucile Mccoy",Killmeyer's
"Lucile Mccoy","Lee's Tavern"
"Lucile Mccoy",Mayahuel
"Lucile Mccoy","The Wayland"
"Lucille Rosario","Bar Sixtyfive"
"Lucille Rosario",Boxer
"Lucille Rosario","Little Branch"
"Lucinda Dorsey",Killmeyer's
"Lucinda Dorsey",PDT
"Lucinda Dorsey","The Wayland"
"Lucio Moore","Aldo Sohm Wine Bar"
"Lucio Moore","Lee's Tavern"
"Lucio Moore","Old Town Bar"
"Lucio Ochoa","King Cole Bar"
"Lucius Sweeney",Barcade
"Lucius Sweeney",Donna
"Lucy Mathis","Bemelmans Bar"
"Lucy Mathis",Donna
"Lucy Mathis","Old Town Bar"
"Luella Hays",BlackTail
"Luella Hays","Maison Premiere"
"Luella Wilkinson","Broken Shaker"
"Luigi Farmer","Bemelmans Bar"
"Luigi Farmer","Dear Irving"
"Luigi Mcintyre","Holiday Cocktail Lounge"
"Luigi Mcintyre","Rainbow Room"
"Luigi Mcintyre","The Ginger Man"
"Luis Daniel","Clover Club"
"Luis Daniel","The Wayland"
"Luis Forrest","Spring Lounge"
"Luis Raymond","Beauty Bar"
"Luis Raymond","Clockwork Bar"
"Luis Raymond","Donovan's Pub"
"Luis Raymond","Sugar East"
"Luis Weber",Attaboy
"Luis Weber",d.b.a.
"Luis Weber","Rainbow Room"
"Luisa Bates",7B
"Luisa Bates",Mona's
"Luisa Bates","Raines Law Room"
"Luisa Gibson","Blue Bar"
"Luisa Strong","Broken Shaker"
"Luisa Strong","Orange Street"
"Luke Curry","Alewife Queens"
"Luke Curry","Sugar East"
"Luke Curry","The 13th Step"
"Luke David",Boxer
"Luke David",Subject
"Lula Melendez","Ghost Donkey"
"Lula Melendez","The Iron Horse Nyc"
"Lula Mooney",Nitecap
"Lula Mooney","The Counting Room"
"Lupe Baxter","Aldo Sohm Wine Bar"
"Lupe Baxter","Connolly's Bar"
"Lupe Jacobs","169 Bar"
"Lupe Jacobs","Aldo Sohm Wine Bar"
"Lupe Jacobs","Pegu Club"
"Luther Frost","Clover Club"
"Luther Frost","Connolly's Bar"
"Luther Frost","KGB Bar"
"Luz Bruce","Angel's Share"
"Luz Bruce","Grand Banks"
"Luz Bruce","The Pony Bar"
"Luz Dougherty","The Central Bar"
"Luz Hatfield",Killmeyer's
"Luz Kerr",7B
"Luz Kerr",Barcade
"Luz Kerr","Bemelmans Bar"
"Luz Kerr","Blue Bar"
"Luz Mccall",Mona's
"Luz Mccall","The Wayland"
"Lyle Horn","Bar Goto"
"Lyle Horn","Keats Bar"
"Lyle Knox",Barcade
"Lyle Knox",Mayahuel
"Lyle Knox","Spring Lounge"
"Lyle Perry","McSorley's Old Ale House"
"Lyman Mckee","Connolly's Bar"
"Lyman Mckee",PDT
"Lynda Berger","Dead Rabbit"
"Lynda Berger","Rainbow Room"
"Lynda Murray","Raines Law Room"
"Lynda Nixon",Killmeyer's
"Lynda Richardson","Lee's Tavern"
"Lyndon Arroyo",Killmeyer's
"Lyndon Arroyo","Spring Lounge"
"Lyndon Hines","Amor y Amargo"
"Lyndon Hines","Dive Bar"
"Lyndon Hines","Ghost Donkey"
"Lyndon Hines","The Pony Bar"
"Lyndon Perez","Pegu Club"
"Lynette Zimmerman","Clover Club"
"Lynette Zimmerman","Dear Irving"
"Lynne Frazier",Killmeyer's
"Lynnette Mclaughlin","Raines Law Room"
"Lynnette Sawyer",Bua
"Lynwood Armstrong","Dear Irving"
"Lynwood Armstrong","Lee's Tavern"
"Lynwood Doyle","Dear Irving"
"Lynwood Doyle","Old Town Bar"
"Lynwood Mckay","ABC Beer Co."
"Lynwood Mckay","Amor y Amargo"
"Lynwood Mckay","Bohemian Hall & Beer Garden"
"Lynwood Mckay","Grand Banks"
"Lynwood Sims","Blue Bar"
"Lynwood Sims","Raines Law Room"
"Lynwood Villegas",Barcade
"Lynwood Wheeler",Apotheke
"Lynwood Zhang","KGB Bar"
"Lynwood Zhang","Raines Law Room"
"Mabel Dyer","Bemelmans Bar"
"Mabel Dyer",Mona's
"Mabel Dyer",PDT
"Mabel Simpson","Grand Banks"
"Mabel Simpson","King Cole Bar"
"Mabel Simpson","The Pool Lounge"
"Mable Hendrix","Little Branch"
"Mac Hester","169 Bar"
"Mac Price",7B
"Mac Price","Lee's Tavern"
"Mac Price",Mayahuel
"Mac Santos","Raines Law Room"
"Mac Santos","Townhouse of New York"
"Macie Caldwell",Barcade
"Mack Gilmore","Raines Law Room"
"Mack Pace","Bemelmans Bar"
"Mack Pace","Blue Bar"
"Mack Pace","KGB Bar"
"Madeleine Dalton",7B
"Madeleine Dalton","Bemelmans Bar"
"Madeleine Dalton","Clover Club"
"Madeleine Hudson","Alewife Queens"
"Madeleine Hudson","Sugar East"
"Madeleine Lindsey","KGB Bar"
"Madeleine Lindsey",Mona's
"Madeleine Skinner","Bar Nine"
"Madeleine Skinner","Bar Sixtyfive"
